0619-21-40-37-141,memo,3312,99.2,94.8,93.13,91.2,89.18,88.03,87.04,84.06,83.99,81.59 
0625-15-32-15-406,memo,2495,99.2,92.3,92.3,90.78,85.92,85.3,84.27,83.45,81.19,80.35 
