0619-21-40-37-141,memo,3312,89.8,74.55,73.23,67.82,65.76,62.82,61.47,58.04,56.48,54.76 
0625-15-32-15-406,memo,2495,89.7,71.7,71.3,66.97,62.78,60.85,58.51,56.42,54.32,52.27 
