0619-21-40-37-141,memo,3312,99.5,95.05,93.97,91.25,90.38,88.73,87.53,86.01,84.43,82.6 
0625-15-32-15-406,memo,2495,99.5,94.05,93.17,91.5,88.88,87.32,85.89,84.84,83.52,81.2 
